,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
18,2023-02-28 23:41:08+00:00,https://twitter.com/edna_reese/status/1630714749632536577,edna_reese,Twitter for iPhone,,"Igbos built Lagos. Alaba , idumota will be nothing without Igbos  .We have won Lagos now watch us take charge of your land soon . Attah won   Banky W , dat’s the power of igbo movement.And now the new Governor of Lagos state is an Igbo boy called GRV Chinedu #2023GeneralElections",0,0,0,5
19,2023-02-28 23:40:30+00:00,https://twitter.com/chronicle_ng/status/1630714593080213506,chronicle_ng,Twitter for Android,Everywhere,"Presidential election result in Borno State

Borno State 

APC - 252,282
Labour Party - 7,205
PDP - 190,921
NNPP - 4,626

#2023GeneralElections
#ElectionResults
#electionresults2023
#ElectionResult
#INECElectionResult https://t.co/5CMp4EPPjn",3,1,0,0
20,2023-02-28 23:40:02+00:00,https://twitter.com/panachefm/status/1630714474649776128,panachefm,Radio.co now playing,"Ikoyi, Nigeria","Juls - CHANCE featuring Tay Iwar and Projexx
 
#Listen live via  https://t.co/H5oJ2oxLCs #ElectionResult  #TinubuCannotWin #protest #2023GeneralElections #PaulVsFury #Messi #ObiWon #Falz #90DayFiance #ReferendumNow #INECElectionResult #FuryPaul",0,0,0,0
21,2023-02-28 23:39:04+00:00,https://twitter.com/walepella/status/1630714232114118658,walepella,Twitter for Android,"Kano, Nigeria","No kyne petition weh I never sign because of this election matter since yesterday. I just dey sign petition!!! Make person no go join cult unknowingly oo.

 #2023GeneralElections",0,0,0,1
22,2023-02-28 23:37:14+00:00,https://twitter.com/edna_reese/status/1630713769352388608,edna_reese,Twitter for iPhone,,"yorubas are known to be clueless. You are always on the wrong side of history. Now that a sensible man wanna rule, some of you oil and Amala licking people are fighting against it. Obi will win and there’s nothing you oil licking people can do #2023GeneralElections",4,1,1,5
23,2023-02-28 23:36:34+00:00,https://twitter.com/josevivas54/status/1630713600812695558,josevivas54,Twitter Web App,,#2023GeneralElections https://t.co/tZstGRp2GO,36,11,0,0
24,2023-02-28 23:34:06+00:00,https://twitter.com/edna_reese/status/1630712980806545409,edna_reese,Twitter for iPhone,,The way Igbos finessed these smelling yoruba people. Peter Obi won you guys clearly. You are as fun as it comes and now want to steal our mandate.. #2023GeneralElections,1,0,0,0
25,2023-02-28 23:32:34+00:00,https://twitter.com/panachefm/status/1630712593206632449,panachefm,Radio.co now playing,"Ikoyi, Nigeria","Limozeen - True Luv + 1 (Official Audio)
 
#Listen live via  https://t.co/H5oJ2oxLCs #ElectionResult  #TinubuCannotWin #protest #2023GeneralElections #PaulVsFury #Messi #ObiWon #Falz #90DayFiance #ReferendumNow #INECElectionResult #FuryPaul",0,0,0,0
26,2023-02-28 23:32:10+00:00,https://twitter.com/olabisi_olaleye/status/1630712493705134080,olabisi_olaleye,Twitter for Android,planet earth,"Labour Party also rigged presidential and National Assembly elections – Davido confirms (Video)
https://t.co/vogbuAfnoQ
#2023GeneralElections",3,0,0,0
27,2023-02-28 23:31:37+00:00,https://twitter.com/chronicle_ng/status/1630712355561648130,chronicle_ng,Twitter for Android,Everywhere,"Presidential election result in Taraba State

Taraba State 

APC - 135,165
Labour Party - 146,315
PDP - 189,017
NNPP - 12,818

#2023GeneralElections
#ElectionResults
#electionresults2023
#ElectionResult
#INECElectionResult https://t.co/FuNJmco3X0",3,1,0,0
28,2023-02-28 23:30:24+00:00,https://twitter.com/Mykekezie/status/1630712050291810306,Mykekezie,Twitter for Android,,"DEAR @inecnigeria,
Don't forget that Finger prints are unique to individuals.
We will call for the ballot paper.

#2023GeneralElections #protest #ENDINECNOW #INECFailedNigerians #INECIsCorrupt #ObiIsComing",0,0,0,0
29,2023-02-28 23:29:56+00:00,https://twitter.com/Kingrapheal_/status/1630711933631340546,Kingrapheal_,Twitter for Android,Nigeria,"This Election must be conducted again with high security levels to avoid Snatching of ballot boxes e.t.c
Or if na say na online voting make we con see how una go rig am 

#2023GeneralElections",0,0,0,0
30,2023-02-28 23:27:02+00:00,https://twitter.com/GamboHawwah/status/1630711202979495936,GamboHawwah,Twitter for Android,Abuja,"We would not have done this without you 🙏🌹
#2023GeneralElections 
#electher 
#WomenInPolitics 
#leadershipinclusion 
#GoodGovernance",1,0,0,0
31,2023-02-28 23:26:52+00:00,https://twitter.com/mr_Lowwo/status/1630711160872812545,mr_Lowwo,Twitter for Android,"Federal Capital Territory, Nig","Waiting for the verdict
#TinubuIsNotComing
#2023GeneralElections
#INECElectionResult
#RetweeetPlease
#follo4follo https://t.co/gjMziqxCT0",9,0,1,2
32,2023-02-28 23:24:53+00:00,https://twitter.com/NeilsinJack/status/1630710662119694337,NeilsinJack,Twitter for Android,"Kaduna, Nigeria",Where is the promise you made #2023GeneralElections #INECElection https://t.co/ocJo1It3w1,6,1,0,0
33,2023-02-28 23:24:49+00:00,https://twitter.com/NewsOneNG/status/1630710646256852993,NewsOneNG,Twitter Web App,Nigeria,"March Messages: 100 Happy New Month Wishes And Messages For March 2023 
#HappyNewMonth #MarchWishes #WelcomeMarch
#2023GeneralElections #electionresults2023 
#NigerianElections2023 #BBTitans
https://t.co/C3tGh7riHh",0,0,0,0
34,2023-02-28 23:22:38+00:00,https://twitter.com/ChidiAsanya/status/1630710096614371328,ChidiAsanya,Twitter for Android,,#2023GeneralElections . This is what we were promised. This is why I voted. https://t.co/gWDFCW5U0U,0,0,0,0
35,2023-02-28 23:22:17+00:00,https://twitter.com/dayoogedengbe/status/1630710005128200193,dayoogedengbe,Twitter for iPhone,,"Whether Tinubu is declared president or not,Sanwo Olu will pay for this rigging his godfather did.
Not only him,all APC governors will pay for this!

Make March 11th come quick abeg 🙇🏼

• Lagosians • Emefiele • #CongratulationsObidatti • 25% in Abuja • #2023GeneralElections",20,1,0,5
